Aikaleima (YYYY.mm.dd HH:MM);Aikavyöhyke;Sademäärä (mm)
2016.07.04 12:00;UTC+3;0
2016.07.04 13:00;UTC+3;0
2016.07.04 14:00;UTC+3;0
2016.07.04 15:00;UTC+3;0
2016.07.04 16:00;UTC+3;0
2016.07.04 17:00;UTC+3;0
2016.07.04 18:00;UTC+3;0
2016.07.04 19:00;UTC+3;0
2016.07.04 20:00;UTC+3;6.9
2016.07.04 21:00;UTC+3;0.1
2016.07.04 22:00;UTC+3;0
2016.07.04 23:00;UTC+3;0
2016.07.05 00:00;UTC+3;0
2016.07.05 01:00;UTC+3;0
2016.07.05 02:00;UTC+3;0
2016.07.05 03:00;UTC+3;0
2016.07.05 04:00;UTC+3;0
2016.07.05 05:00;UTC+3;0
2016.07.05 06:00;UTC+3;0
2016.07.05 07:00;UTC+3;0
2016.07.05 08:00;UTC+3;0
2016.07.05 09:00;UTC+3;0
2016.07.05 10:00;UTC+3;0
2016.07.05 11:00;UTC+3;0
2016.07.05 12:00;UTC+3;0
2016.07.05 13:00;UTC+3;0
2016.07.05 14:00;UTC+3;0
2016.07.05 15:00;UTC+3;1.1
2016.07.05 16:00;UTC+3;0
2016.07.05 17:00;UTC+3;0.3
2016.07.05 18:00;UTC+3;0.1
2016.07.05 19:00;UTC+3;0
2016.07.05 20:00;UTC+3;0
2016.07.05 21:00;UTC+3;0
2016.07.05 22:00;UTC+3;0
2016.07.05 23:00;UTC+3;0
2016.07.06 00:00;UTC+3;0
2016.07.06 01:00;UTC+3;0
2016.07.06 02:00;UTC+3;0
2016.07.06 03:00;UTC+3;0
2016.07.06 04:00;UTC+3;0
2016.07.06 05:00;UTC+3;0
2016.07.06 06:00;UTC+3;0
2016.07.06 07:00;UTC+3;0
2016.07.06 08:00;UTC+3;0
2016.07.06 09:00;UTC+3;0
2016.07.06 10:00;UTC+3;0
2016.07.06 11:00;UTC+3;0
2016.07.06 12:00;UTC+3;0
2016.07.06 13:00;UTC+3;0
2016.07.06 14:00;UTC+3;0
2016.07.06 15:00;UTC+3;0
2016.07.06 16:00;UTC+3;0
2016.07.06 17:00;UTC+3;0
2016.07.06 18:00;UTC+3;0
2016.07.06 19:00;UTC+3;0
2016.07.06 20:00;UTC+3;0
2016.07.06 21:00;UTC+3;0
2016.07.06 22:00;UTC+3;0
2016.07.06 23:00;UTC+3;0
2016.07.07 00:00;UTC+3;0
2016.07.07 01:00;UTC+3;0
2016.07.07 02:00;UTC+3;0
2016.07.07 03:00;UTC+3;0.3
2016.07.07 04:00;UTC+3;1.5
2016.07.07 05:00;UTC+3;0.6
2016.07.07 06:00;UTC+3;0.4
2016.07.07 07:00;UTC+3;0.8
2016.07.07 08:00;UTC+3;0.8
2016.07.07 09:00;UTC+3;0.4
2016.07.07 10:00;UTC+3;0.8
2016.07.07 11:00;UTC+3;0.4
2016.07.07 12:00;UTC+3;0
2016.07.07 13:00;UTC+3;0
2016.07.07 14:00;UTC+3;0
2016.07.07 15:00;UTC+3;0
2016.07.07 16:00;UTC+3;0
2016.07.07 17:00;UTC+3;0
2016.07.07 18:00;UTC+3;0
2016.07.07 19:00;UTC+3;0.1
2016.07.07 20:00;UTC+3;0.1
2016.07.07 21:00;UTC+3;0
2016.07.07 22:00;UTC+3;0
2016.07.07 23:00;UTC+3;0
2016.07.08 00:00;UTC+3;0
2016.07.08 01:00;UTC+3;0
2016.07.08 02:00;UTC+3;0
2016.07.08 03:00;UTC+3;0
2016.07.08 04:00;UTC+3;0
2016.07.08 05:00;UTC+3;0
2016.07.08 06:00;UTC+3;0
2016.07.08 07:00;UTC+3;0
2016.07.08 08:00;UTC+3;0
2016.07.08 09:00;UTC+3;0
2016.07.08 10:00;UTC+3;0
2016.07.08 11:00;UTC+3;0
2016.07.08 12:00;UTC+3;0
2016.07.08 13:00;UTC+3;0
2016.07.08 14:00;UTC+3;0
2016.07.08 15:00;UTC+3;0
2016.07.08 16:00;UTC+3;0
2016.07.08 17:00;UTC+3;0
2016.07.08 18:00;UTC+3;0
2016.07.08 19:00;UTC+3;0
2016.07.08 20:00;UTC+3;0
2016.07.08 21:00;UTC+3;0
2016.07.08 22:00;UTC+3;0
2016.07.08 23:00;UTC+3;0
2016.07.09 00:00;UTC+3;0
2016.07.09 01:00;UTC+3;0
2016.07.09 02:00;UTC+3;0
2016.07.09 03:00;UTC+3;0
2016.07.09 04:00;UTC+3;0
2016.07.09 05:00;UTC+3;0
2016.07.09 06:00;UTC+3;0
2016.07.09 07:00;UTC+3;0
2016.07.09 08:00;UTC+3;0
2016.07.09 09:00;UTC+3;0
2016.07.09 10:00;UTC+3;0
2016.07.09 11:00;UTC+3;0
2016.07.09 12:00;UTC+3;0
2016.07.09 13:00;UTC+3;0
2016.07.09 14:00;UTC+3;0
2016.07.09 15:00;UTC+3;0
2016.07.09 16:00;UTC+3;0
2016.07.09 17:00;UTC+3;0
2016.07.09 18:00;UTC+3;0
2016.07.09 19:00;UTC+3;0
2016.07.09 20:00;UTC+3;0
2016.07.09 21:00;UTC+3;0
2016.07.09 22:00;UTC+3;0
2016.07.09 23:00;UTC+3;0
2016.10.20 00:00;UTC+3;0
2016.10.20 01:00;UTC+3;0
2016.10.20 02:00;UTC+3;0
2016.10.20 03:00;UTC+3;0
2016.10.20 04:00;UTC+3;0
2016.10.20 05:00;UTC+3;0
2016.10.20 06:00;UTC+3;0
2016.10.20 07:00;UTC+3;0
2016.10.20 08:00;UTC+3;0
2016.10.20 09:00;UTC+3;0
2016.10.20 10:00;UTC+3;0
2016.10.20 11:00;UTC+3;0
2016.10.20 12:00;UTC+3;0
2016.10.20 13:00;UTC+3;0
2016.10.20 14:00;UTC+3;0
2016.10.20 15:00;UTC+3;0
2016.10.20 16:00;UTC+3;0
2016.10.20 17:00;UTC+3;0
2016.10.20 18:00;UTC+3;0
2016.10.20 19:00;UTC+3;0
2016.10.20 20:00;UTC+3;0
2016.10.20 21:00;UTC+3;0
2016.10.20 22:00;UTC+3;0
2016.10.20 23:00;UTC+3;0
